file,kind,detail
L_68352.xml,unresolved-entity-key,Egoist Ltd.
L_68352.xml,unresolved-entity-key,Shakespeare and Company
L_68352.xml,unresolved-entity-key,the Egoist Press
L_68352.xml,unresolved-entity-key,JJ
L_68352.xml,unresolved-entity-key,LI
L_68352.xml,unresolved-entity-key,LII
L_68352.xml,unresolved-entity-key,Ulysses in Progress
L_68352.xml,unresolved-entity-key,Pound/Joyce
L_68352.xml,unresolved-entity-key,The Cantos
L_68352.xml,unresolved-entity-key,Poetry
L_68352.xml,unresolved-entity-key,Poetry
L_68352.xml,unresolved-entity-key,Don Juan
L_68352.xml,unresolved-entity-key,Poetry
L_68352.xml,unresolved-entity-key,Ernest Fenollosa
L_68352.xml,unresolved-entity-key,“Noh” or Accomplishment: A Study of the Classical Stage of Japan
L_68352.xml,unresolved-entity-key,Certain Noble Plays of Japan
L_68352.xml,unresolved-entity-key,At the Hawk’s Well
L_68352.xml,unresolved-entity-key,Lady Cunard
L_68352.xml,unresolved-entity-key,Pound/Joyce
L_68352.xml,unresolved-entity-key,Iris Barry
L_68352.xml,unresolved-entity-key,"Selected Letters of Ezra Pound, 1907-1941"
L_68352.xml,unresolved-entity-key,The Consolations of Matrimony
L_68352.xml,unresolved-entity-key,Synge
L_68352.xml,unresolved-entity-key,"Stone Cottage: Pound, Yeats, and Modernism"
L_68352.xml,unresolved-entity-key,At the Hawk’s Well
L_68352.xml,unresolved-entity-key,"Ezra Pound: Poet, A Portrait of the Man and His Work"
L_68352.xml,unresolved-entity-key,The Consolations of Matrimony
L_68352.xml,unresolved-entity-key,Plays Modelled on the Noh (1916)
L_68352.xml,unresolved-entity-key,Pound/Joyce
L_68352.xml,unresolved-entity-key,Pound/Joyce
L_68361.xml,unresolved-entity-key,Pound/Joyce
L_68361.xml,unresolved-entity-key,Pound/Joyce
L_68361.xml,unresolved-entity-key,Pound/Joyce
L_68361.xml,unresolved-entity-key,Encyclopedia Britannica
L_68361.xml,unresolved-entity-key,Frederick J. Poynton
L_68361.xml,unresolved-entity-key,Alexander Paine
L_68361.xml,unresolved-entity-key,Lancet
L_68361.xml,unresolved-entity-key,the Zurich Augenklinik
L_68361.xml,unresolved-entity-key,JJ
L_68361.xml,unresolved-entity-key,Finnegans Wake
L_68361.xml,unresolved-entity-key,FW
L_68361.xml,unresolved-entity-key,Concerning Lafcadio Hearn
L_68361.xml,unresolved-entity-key,Pound/Joyce
L_68361.xml,unresolved-entity-key,"Ezra Pound and Margaret Cravens: A Tragic Friendship, 1910-1912"
L_68361.xml,unresolved-entity-key,Pound/Joyce
L_68361.xml,unresolved-entity-key,"The Selected Letters of Ezra Pound to John Quinn, 1915-1924"
L_68361.xml,unresolved-entity-key,Mina Loy
L_68361.xml,unresolved-entity-key,Francis Picabia
L_68361.xml,unresolved-entity-key,Dorothy Richardson
L_68361.xml,unresolved-entity-key,May Sinclair
L_68361.xml,unresolved-entity-key,Gertrude Stein
L_68361.xml,unresolved-entity-key,W.C. Williams
L_68361.xml,unresolved-entity-key,Hans Arp
L_68361.xml,unresolved-entity-key,Marcel Duchamp
L_68361.xml,unresolved-entity-key,Fernand Léger
L_68361.xml,unresolved-entity-key,Pound/Joyce
L_68361.xml,unresolved-entity-key,LI
L_68374.xml,unresolved-entity-key,Pound/Joyce
L_68374.xml,unresolved-entity-key,Pound/Joyce
L_68374.xml,unresolved-entity-key,Olivia Shakespear
L_68374.xml,unresolved-entity-key,an English couple named Eden
L_68374.xml,unresolved-entity-key,Uncle Hilary
L_68374.xml,unresolved-entity-key,Olivia Shakespear and W.B. Yeats: After Long Silence
L_68374.xml,unresolved-entity-key,A Garden in Venice
L_68374.xml,unresolved-entity-key,Ezra Pound to his Parents: Letters 1895-1929
L_68374.xml,unresolved-entity-key,"Ezra Pound and Dorothy Shakespear: Their Letters, 1909-1914"
L_68374.xml,unresolved-entity-key,the eye clinic (Augenklinik) of the University of Zurich
L_68374.xml,unresolved-entity-key,Alfred Vogt
L_68374.xml,unresolved-entity-key,JJ
L_68374.xml,unresolved-entity-key,Poetry
L_68374.xml,unresolved-entity-key,Poetry
L_68374.xml,unresolved-entity-key,Pomes Penyeach
L_68374.xml,unresolved-entity-key,Princess Maleine
L_68374.xml,unresolved-entity-key,Maurice Maeterlinck
L_68374.xml,unresolved-entity-key,Pound/Joyce
L_68374.xml,unresolved-entity-key,A Bibliography of James Joyce
L_68374.xml,unresolved-entity-key,LII
L_68374.xml,unresolved-entity-key,J.M. Barrie
L_68374.xml,unresolved-entity-key,JJ
L_68374.xml,unresolved-entity-key,Regent Theatre
L_68374.xml,unresolved-entity-key,W.G. Fay
L_68374.xml,unresolved-entity-key,Pound/Joyce
L_68374.xml,unresolved-entity-key,Cantos
L_68374.xml,unresolved-entity-key,Personae: The Shorter Poems
L_68374.xml,unresolved-entity-key,Pound/Joyce
L_68382.xml,unresolved-entity-key,Sir Anderson Critchett
L_68382.xml,unresolved-entity-key,Pound/Joyce
L_68382.xml,unresolved-entity-key,LI
L_68382.xml,unresolved-entity-key,Egoist Press
L_68382.xml,unresolved-entity-key,LI
L_68382.xml,unresolved-entity-key,Studies in Bibliography
L_68382.xml,unresolved-entity-key,LII
L_68382.xml,unresolved-entity-key,LI
L_68382.xml,unresolved-entity-key,Pound/Joyce
L_68382.xml,unresolved-entity-key,Poetry
L_68382.xml,unresolved-entity-key,Alfred A. Knopf
L_68382.xml,unresolved-entity-key,Pound/Joyce
L_68382.xml,unresolved-entity-key,LIII
L_68382.xml,unresolved-entity-key,Pound/Joyce
L_68382.xml,unresolved-entity-key,Pound/Joyce
L_68382.xml,unresolved-entity-key,Pound/Joyce
L_68384.xml,unresolved-entity-key,a Spaniard
L_68384.xml,unresolved-entity-key,LI
L_68384.xml,unresolved-entity-key,Charlotte Sauermann
L_68384.xml,unresolved-entity-key,the Zurich opera
L_68384.xml,unresolved-entity-key,Mrs. Harold McCormick
L_68384.xml,unresolved-entity-key,JJ
L_68384.xml,unresolved-entity-key,Philipp Jarnach
L_68384.xml,unresolved-entity-key,Ferruccio Busoni
L_68384.xml,unresolved-entity-key,Lucia Joyce: To Dance in the Wake
L_68384.xml,unresolved-entity-key,Schumann
L_68384.xml,unresolved-entity-key,Weber
L_68384.xml,unresolved-entity-key,Oberon
L_68384.xml,unresolved-entity-key,Beethoven
L_68384.xml,unresolved-entity-key,Missa solemnis
L_68384.xml,unresolved-entity-key,Verdi
L_68384.xml,unresolved-entity-key,Requiem
L_68384.xml,unresolved-entity-key,Mahler
L_68384.xml,unresolved-entity-key,JJ
L_68384.xml,unresolved-entity-key,LII
L_68384.xml,unresolved-entity-key,LII
L_68384.xml,unresolved-entity-key,Pound/Joyce
L_68384.xml,unresolved-entity-key,the American printers
L_68384.xml,unresolved-entity-key,LI
L_68384.xml,unresolved-entity-key,JJ
L_68384.xml,unresolved-entity-key,LII
L_68384.xml,unresolved-entity-key,Pound/Joyce
L_68384.xml,unresolved-entity-key,a Spanish sculptor
L_68384.xml,unresolved-entity-key,Charles Baudelaire
L_68384.xml,unresolved-entity-key,Paul Verlaine
L_68384.xml,unresolved-entity-key,a notebook he compiled in 1919-1920 in Trieste
L_68384.xml,unresolved-entity-key,James Joyce’s Manuscripts and Letters at the University of Buffalo: A Catalogue
L_68384.xml,unresolved-entity-key,The Hesperia: A Greek Weekly Illustrated Newspaper
L_68384.xml,unresolved-entity-key,Dr. Constantine Pouptis
L_68384.xml,unresolved-entity-key,LI
L_68384.xml,unresolved-entity-key,Horace
L_68384.xml,unresolved-entity-key,Epistle
L_68384.xml,unresolved-entity-key,Pound/Joyce
L_68393.xml,unresolved-entity-key,Mr Phocas
L_68393.xml,unresolved-entity-key,Pound/Joyce
L_68393.xml,unresolved-entity-key,Alfred A. Knopf
L_68393.xml,unresolved-entity-key,his printer
L_68393.xml,unresolved-entity-key,D.H. Lawrence
L_68393.xml,unresolved-entity-key,The Cantos
L_68393.xml,unresolved-entity-key,Pound/Joyce
L_68393.xml,unresolved-entity-key,Pound/Joyce
L_68393.xml,unresolved-entity-key,Bulletin of Research in the Humanities
L_68393.xml,unresolved-entity-key,LII
L_68393.xml,unresolved-entity-key,SL
L_68393.xml,unresolved-entity-key,Pound/Joyce
L_68393.xml,unresolved-entity-key,New York Times
L_68393.xml,unresolved-entity-key,Prufrock and Other Observations
L_68393.xml,unresolved-entity-key,the Egoist Press
L_68393.xml,unresolved-entity-key,LIII
L_68393.xml,unresolved-entity-key,François Rabelais
L_68393.xml,unresolved-entity-key,LII
L_68393.xml,unresolved-entity-key,Pound/Joyce
L_68393.xml,unresolved-entity-key,"The Selected Letters of Ezra Pound to John Quinn, 1915-1924"
L_68393.xml,unresolved-entity-key,JJ
L_68393.xml,unresolved-entity-key,Studies in Bibliography
L_68393.xml,unresolved-entity-key,LII
L_68393.xml,unresolved-entity-key,Studies in Bibliography
L_68393.xml,unresolved-entity-key,Pound/Joyce
L_68393.xml,unresolved-entity-key,LI
L_68393.xml,unresolved-entity-key,LI
L_68393.xml,unresolved-entity-key,LI
L_68393.xml,unresolved-entity-key,Glasgow Herald
L_68393.xml,unresolved-entity-key,Everyman
L_68393.xml,unresolved-entity-key,Freeman’s Journal
L_68393.xml,unresolved-entity-key,Ta elliniká tou James Joyce
L_68393.xml,unresolved-entity-key,Chamber Music
L_68393.xml,unresolved-entity-key,JJII
L_68393.xml,unresolved-entity-key,James Joyce’s Manuscripts and Letters at the University of Buffalo: A Catalogue
L_68393.xml,unresolved-entity-key,Wilhelm Dörpfeld
L_68393.xml,unresolved-entity-key,Walter Leaf
L_68393.xml,unresolved-entity-key,Homer and History
L_68393.xml,unresolved-entity-key,Victor Bérard
L_68393.xml,unresolved-entity-key,LI
L_68393.xml,unresolved-entity-key,Mercure de France
L_68393.xml,unresolved-entity-key,Spirit of Romance
L_68393.xml,unresolved-entity-key,Mercure
L_68393.xml,unresolved-entity-key,Pound/Joyce
L_68393.xml,unresolved-entity-key,LI
L_68393.xml,unresolved-entity-key,Mercure
L_68393.xml,unresolved-entity-key,Tolstoy
L_68393.xml,unresolved-entity-key,"James Joyce: The Critical Heritage, Volume 1, 1907-1927"
L_68393.xml,unresolved-entity-key,LII
L_68393.xml,unresolved-entity-key,When We Dead Awaken
L_68393.xml,unresolved-entity-key,Fortnightly Review
L_68393.xml,unresolved-entity-key,JJ
L_68393.xml,unresolved-entity-key,Chamber Music
L_68393.xml,unresolved-entity-key,The Nation
L_68393.xml,unresolved-entity-key,the University of Zurich
L_68393.xml,unresolved-entity-key,Friedrich Nietzsche
L_68393.xml,unresolved-entity-key,W. Somerset Maugham
L_68393.xml,unresolved-entity-key,Island of Happiness
L_68393.xml,unresolved-entity-key,Torch Bearers
L_68393.xml,unresolved-entity-key,De Nieuwe Gids
L_68393.xml,unresolved-entity-key,The New Guide
L_68393.xml,unresolved-entity-key,Wagner
L_68393.xml,unresolved-entity-key,Oscar Wilde
L_68393.xml,unresolved-entity-key,Hardy
L_68393.xml,unresolved-entity-key,Kipling
L_68393.xml,unresolved-entity-key,Hall Caine
L_68393.xml,unresolved-entity-key,Zola
L_68393.xml,unresolved-entity-key,Pound/Joyce
L_68393.xml,unresolved-entity-key,JJ
L_68399.xml,unresolved-entity-key,Poetry
L_68399.xml,unresolved-entity-key,Pomes Penyeach
L_68399.xml,unresolved-entity-key,the Egoist Press
L_68399.xml,unresolved-entity-key,LIII
L_68399.xml,unresolved-entity-key,Pound/Joyce
L_68399.xml,unresolved-entity-key,Bulletin of Research in the Humanities
L_68399.xml,unresolved-entity-key,Pound/Joyce
L_68399.xml,unresolved-entity-key,the Egoist Press
L_68399.xml,unresolved-entity-key,LII
L_68399.xml,unresolved-entity-key,LII
L_68421.xml,unresolved-entity-key,"James Joyce: Letters, Manuscripts, and Photographs at Southern Illinois Universi"
L_68421.xml,unresolved-entity-key,Irische Blätter
L_68432.xml,unresolved-entity-key,SL
L_68432.xml,unresolved-entity-key,JJ
L_68432.xml,unresolved-entity-key,Tribune de Genève
L_68432.xml,unresolved-entity-key,Neue Zürcher Zeitung
L_68432.xml,unresolved-entity-key,Neue Zürcher Zeitung
L_68432.xml,unresolved-entity-key,LI
L_68432.xml,unresolved-entity-key,LII
L_68432.xml,unresolved-entity-key,LI
L_68432.xml,unresolved-entity-key,Ulysses in Progress
L_68432.xml,unresolved-entity-key,Odyssey
L_68432.xml,unresolved-entity-key,LI
L_68432.xml,unresolved-entity-key,James Joyce and the Making of Ulysses
L_68432.xml,unresolved-entity-key,Pound/Joyce
L_68432.xml,unresolved-entity-key,LI
L_68432.xml,unresolved-entity-key,LII
L_68432.xml,unresolved-entity-key,Regent Theatre
L_68432.xml,unresolved-entity-key,W.G. Fay
L_68432.xml,unresolved-entity-key,LII
L_68432.xml,unresolved-entity-key,LII
L_68432.xml,unresolved-entity-key,A Bibliography of James Joyce
L_68432.xml,unresolved-entity-key,LI
L_68432.xml,unresolved-entity-key,Studies in Bibliography
L_68432.xml,unresolved-entity-key,JJ
L_68437.xml,unresolved-entity-key,Metropole
L_68437.xml,unresolved-entity-key,LII
L_68437.xml,unresolved-entity-key,LIII
L_68437.xml,unresolved-entity-key,LIII
L_68437.xml,unresolved-entity-key,LIII
L_68437.xml,unresolved-entity-key,LII
L_68447.xml,unresolved-entity-key,Serial Encounters:
L_68447.xml,unresolved-entity-key,and
L_68447.xml,unresolved-entity-key,Pound/Joyce
L_68447.xml,unresolved-entity-key,Pound/Joyce
L_68447.xml,unresolved-entity-key,LI
L_68447.xml,unresolved-entity-key,Pound/Joyce
L_68447.xml,unresolved-entity-key,Rudolf Goldschmidt
L_68447.xml,unresolved-entity-key,Gemma Weiss
L_68447.xml,unresolved-entity-key,Ottocaro Weiss
L_68447.xml,unresolved-entity-key,the University of Zurich
L_68447.xml,unresolved-entity-key,Paula or Paola Weiss
L_68447.xml,unresolved-entity-key,JJ
L_68447.xml,unresolved-entity-key,LI
L_68447.xml,unresolved-entity-key,LII
L_68447.xml,unresolved-entity-key,Ulysses
L_68447.xml,unresolved-entity-key,Bulletin of Research in the Humanities
L_68447.xml,unresolved-entity-key,Library of John Quinn
L_68447.xml,unresolved-entity-key,JJ
L_68447.xml,unresolved-entity-key,Pound/Joyce
L_68447.xml,unresolved-entity-key,Pound/Joyce
L_68447.xml,unresolved-entity-key,John D. Rockefeller
L_68447.xml,unresolved-entity-key,LII
L_68447.xml,unresolved-entity-key,JJ
L_68447.xml,unresolved-entity-key,LII
L_68447.xml,unresolved-entity-key,LI
L_68449.xml,unresolved-entity-key,Ugo Moggi
L_68449.xml,unresolved-entity-key,JJ
L_68449.xml,unresolved-entity-key,Pound/Joyce
L_68449.xml,unresolved-entity-key,JJ
L_68449.xml,unresolved-entity-key,U
L_68449.xml,unresolved-entity-key,Pound/Joyce
L_68462.xml,unresolved-entity-key,The Egoist
L_68466.xml,unresolved-entity-key,Pound/Joyce
L_68466.xml,unresolved-entity-key,LII
L_68466.xml,unresolved-entity-key,Pound/Joyce
L_68466.xml,unresolved-entity-key,JJ
L_68466.xml,unresolved-entity-key,The Odyssey
L_68466.xml,unresolved-entity-key,Pound/Joyce
L_68466.xml,unresolved-entity-key,Pound/Joyce
L_68466.xml,unresolved-entity-key,James Joyce Quarterly
L_68466.xml,unresolved-entity-key,Pound/Joyce
L_68466.xml,unresolved-entity-key,The Odyssey
L_68466.xml,unresolved-entity-key,The Bath of the Nymph
L_68466.xml,unresolved-entity-key,U
